T,R,T1,T2
19.2,602.8272326,19.2,22.2
19.2,850.4955962,19.8,22.2
19.8,978.0871579,20.4,22.9
21.6,1050.580529,21.6,23.6
25.8,1092.272174,23.6,25.8
23.6,1113.751905,25.8,28.3
23.6,1119.612635,29.2,30.1
26.6,1111.011179,32.1,32.1
25,1086.235781,35.6,36.9
23.6,1039.855132,34.4,36.9
24.3,959.5689694,33.2,36.9
23.6,816.6438606,32.1,35.6
22.2,530.6509433,30.1,34.4
21.6,0,28.3,33.2
21.6,0,26.6,31.1
21.6,0,25.8,30.1
21.6,0,25,29.2
21.6,0,24.3,28.3
21.6,0,24.3,28.3
21,0,23.6,27.4
21,0,22.9,26.6
21,0,22.9,26.6
21,0,22.2,25.8
21,0,22.2,25.8
21,602.8084244,22.2,25.8
20.4,850.2556903,22.2,25
21.6,977.7934505,22.2,25
22.2,1050.274459,23.6,25.8
25,1091.964985,26.6,27.4
23.6,1113.445852,29.2,31.1
22.9,1119.307093,29.2,32.1
22.9,1110.704915,28.3,32.1
22.9,1085.928482,28.3,31.1
22.9,1039.550057,28.3,31.1
22.2,959.2805375,27.4,31.1
22.2,816.4250798,25.8,30.1
21.6,530.7256603,25,29.2
21.6,0,24.3,28.3
21,0,23.6,27.4
20.4,0,22.9,26.6
21,0,22.2,25.8
21,0,22.2,25
20.4,0,21.6,25
20.4,0,21.6,24.3
20.4,0,21,24.3
20.4,0,21,24.3
20.4,0,21,23.6
20.4,0,21,23.6
20.4,602.7257668,21,23.6
20.4,850.0069723,21,23.6
21,977.508338,21.6,24.3
22.9,1049.983606,22.9,25
22.2,1091.675755,24.3,25.8
24.3,1113.158866,25.8,27.4
27.4,1119.020886,27.4,29.2
28.3,1110.41759,29.2,31.1
27.4,1085.638794,34.4,33.2
26.6,1039.259369,34.4,34.4
26.6,958.9986302,33.2,34.4
26.6,816.1916289,33.2,34.4
25.8,530.7151474,32.1,34.4
24.3,0,30.1,34.4
23.6,0,29.2,32.1
23.6,0,27.4,31.1
22.9,0,26.6,30.1
22.9,0,25,29.2
22.9,0,24.3,27.4
22.9,0,23.6,27.4
22.9,0,23.6,26.6
22.9,0,23.6,26.6
22.9,0,22.9,25.8
22.9,0,22.9,25.8
22.9,602.5794918,22.9,25.8
23.6,849.7495497,23.6,25.8
21.6,977.2319182,23.6,25.8
22.2,1049.708069,23.6,25.8
25.8,1091.404585,25,26.6
32.1,1112.891051,29.2,29.2
25.8,1118.754117,30.1,31.1
25,1110.149305,31.1,32.1
24.3,1085.366817,29.2,32.1
25,1038.983165,29.2,31.1
26.6,958.7233455,30.1,32.1
25.8,815.9436225,30.1,32.1
24.3,530.6197142,30.1,32.1
23.6,0,28.3,32.1
23.6,0,27.4,31.1
23.6,0,26.6,30.1
23.6,0,25.8,29.2
22.9,0,25.8,28.3
22.9,0,25,28.3
22.9,0,24.3,27.4
22.2,0,24.3,27.4
22.2,0,23.6,26.6
22.2,0,23.6,26.6
22.2,0,22.9,25.8
22.2,602.3697746,22.9,25.8
22.2,849.4835082,22.9,25.8
22.9,976.964272,23.6,25.8
25,1049.447933,25,26.6
23.6,1091.151562,25.8,27.4
25,1112.642493,26.6,29.2
25,1118.506873,28.3,30.1
23.6,1109.900147,28.3,30.1
25,1085.112637,28.3,31.1
23.6,1038.72153,28.3,31.1
22.9,958.4547639,27.4,30.1
22.2,815.681151,25,29.2
22.2,530.439593,24.3,28.3
22.2,0,23.6,27.4
22.2,0,23.6,26.6
22.2,0,22.9,25.8
22.2,0,22.9,25.8
22.2,0,22.2,25
21.6,0,22.2,25
21.6,0,22.2,25
21.6,0,22.2,25
21.6,0,22.2,25
21.6,0,22.2,24.3
21.6,0,22.2,24.3
21.6,602.0967335,22.2,24.3
21.6,849.208912,22.2,24.3
21.6,976.7054634,22.9,25
21.6,1049.203264,22.9,25.8
22.2,1090.916753,24.3,25.8
22.2,1112.413263,25,27.4
23.6,1118.279223,26.6,28.3
24.3,1109.670186,27.4,30.1
25,1084.876322,31.1,31.1
22.2,1038.47453,29.2,32.1
24.3,958.1929489,28.3,31.1
24.3,815.404281,27.4,31.1
23.6,530.1749397,27.4,31.1
23.6,0,26.6,30.1
22.9,0,25.8,29.2
22.9,0,25,29.2
22.9,0,25,28.3
22.9,0,24.3,27.4
22.9,0,24.3,27.4
21.6,0,23.6,26.6
21.6,0,22.9,26.6
21.6,0,22.9,25.8
21.6,0,22.9,25.8
21.6,0,22.2,25.8
21.6,601.76043,22.2,25
22.9,848.9258035,23.6,25.8
24.3,976.4555393,25,27.4
26.6,1048.974115,27.4,29.2
28.3,1090.700214,34.4,32.1
29.2,1112.203414,43.2,38.3
29.2,1118.071224,43.2,43.2
30.1,1109.459476,41.4,43.2
29.2,1084.657926,41.4,45.1
31.1,1038.242216,43.2,45.1
29.2,957.9379465,45.1,47.1
27.4,815.1130547,41.4,47.1
26.6,529.8258334,38.3,45.1
25.8,0,35.6,41.4
25,0,33.2,39.8
25,0,32.1,38.3
24.3,0,31.1,35.6
24.3,0,29.2,34.4
22.9,0,27.4,32.1
22.9,0,25.8,31.1
22.9,0,25,29.2
23.6,0,24.3,28.3
24.3,0,23.6,27.4
24.3,0,23.6,26.6
26.6,601.3608692,23.6,26.6
28.3,848.6342035,25.8,27.4
29.2,976.2145298,29.2,29.2
31.1,1048.760518,33.2,32.1
32.1,1090.50198,38.3,35.6
32.1,1112.012986,39.8,39.8
31.1,1117.882912,38.3,41.4
31.1,1109.268056,39.8,43.2
33.2,1084.457486,45.1,45.1
34.4,1038.024621,45.1,47.1
33.2,957.6897855,45.1,49.4
31.1,814.8074903,41.4,47.1
29.2,529.392277,38.3,45.1
28.3,0,35.6,43.2
28.3,0,33.2,39.8
27.4,0,32.1,38.3
28.3,0,30.1,35.6
27.4,0,30.1,34.4
27.4,0,29.2,33.2
27.4,0,28.3,32.1
27.4,0,28.3,32.1
26.6,0,27.4,31.1
26.6,0,26.6,30.1
26.6,0,26.6,29.2
27.4,600.8979993,26.6,29.2
30.1,848.334111,28.3,30.1
30.1,975.9824481,32.1,32.1
30.1,1048.562494,38.3,35.6
31.1,1090.322074,43.2,39.8
32.1,1111.841999,47.1,45.1
31.1,1117.714311,49.4,47.1
34.4,1109.095947,49.4,49.4
33.2,1084.275022,51.9,51.9
35.6,1037.821763,49.4,51.9
35.6,957.4484773,49.4,54.8
33.2,814.487582,45.1,51.9
30.1,528.8741972,41.4,47.1
29.2,0,38.3,45.1
28.3,0,34.4,41.4
28.3,0,33.2,38.3
28.3,0,31.1,36.9
27.4,0,30.1,35.6
28.3,0,29.2,33.2
28.3,0,28.3,32.1
27.4,0,28.3,32.1
27.4,0,27.4,31.1
27.4,0,27.4,30.1
26.6,0,26.6,30.1
28.3,600.371712,27.4,29.2
31.1,848.0255035,30.1,30.1
30.1,975.7592904,33.2,32.1
30.1,1048.380044,36.9,35.6
33.2,1090.160499,43.2,39.8
33.2,1111.690461,45.1,45.1
32.1,1117.565427,49.4,49.4
34.4,1108.943155,49.4,51.9
33.2,1084.110539,51.9,54.8
34.4,1037.633644,51.9,54.8
34.4,957.2140163,51.9,54.8
34.4,814.1533,47.1,51.9
32.1,528.271444,43.2,49.4
30.1,0,39.8,47.1
29.2,0,36.9,43.2
29.2,0,34.4,41.4
28.3,0,33.2,38.3
28.3,0,31.1,36.9
27.4,0,30.1,35.6
27.4,0,29.2,34.4
27.4,0,28.3,33.2
27.4,0,28.3,32.1
26.6,0,27.4,31.1
26.6,0,26.6,30.1
28.3,599.7818422,26.6,30.1
30.1,847.7083367,29.2,30.1
31.1,975.545036,33.2,32.1
31.1,1048.213154,38.3,36.9
33.2,1090.017244,43.2,41.4
34.4,1111.558361,49.4,47.1
34.4,1117.43625,51.9,51.9
36.9,1108.80967,54.8,54.8
34.4,1083.964024,58,58
35.6,1037.46025,58,58
35.6,956.9863794,54.8,58
34.4,813.8045903,51.9,58
32.1,527.5837911,47.1,54.8
30.1,0,41.4,49.4
29.2,0,36.9,45.1
28.3,0,34.4,41.4
28.3,0,33.2,39.8
28.3,0,31.1,36.9
28.3,0,30.1,35.6
27.4,0,29.2,34.4
26.6,0,28.3,32.1
25.8,0,27.4,32.1
25.8,0,26.6,31.1
25,0,25.8,30.1
26.6,599.1281681,25.8,29.2
29.2,847.3825448,28.3,30.1
32.1,975.3396475,32.1,32.1
32.1,1048.061795,38.3,35.6
32.1,1089.892283,45.1,41.4
34.4,1111.445673,51.9,47.1
32.1,1117.326754,54.8,51.9
34.4,1108.695466,58,54.8
33.2,1083.835452,61.8,58
34.4,1037.301549,61.8,61.8
34.4,956.7655263,58,58
33.2,813.4413748,54.8,58
31.1,526.8109354,47.1,51.9
30.1,0,43.2,49.4
29.2,0,39.8,45.1
28.3,0,36.9,43.2
28.3,0,34.4,39.8
27.4,0,32.1,38.3
27.4,0,31.1,35.6
27.4,0,30.1,34.4
26.6,0,29.2,33.2
26.6,0,28.3,32.1
25.8,0,27.4,31.1
25.8,0,26.6,30.1
25.8,598.4104105,26.6,29.2
36.9,847.0480404,43.2,39.8
35.6,975.1430706,49.4,47.1
33.2,1047.925921,51.9,51.9
33.2,1089.785572,49.4,51.9
36.9,1111.352355,51.9,51.9
31.1,1117.236897,39.8,49.4
31.1,1108.600501,36.9,45.1
31.1,1083.724777,36.9,43.2
30.1,1037.157494,35.6,41.4
29.2,956.5513998,33.2,39.8
29.2,813.0635517,32.1,36.9
28.3,525.9524966,31.1,35.6
28.3,0,30.1,34.4
28.3,0,30.1,34.4
28.3,0,29.2,34.4
28.3,0,29.2,32.1
28.3,0,29.2,34.4
28.3,0,29.2,32.1
28.3,0,28.3,32.1
28.3,0,28.3,31.1
27.4,0,28.3,31.1
27.4,0,27.4,30.1
27.4,0,27.4,30.1
27.4,597.6282334,27.4,30.1
27.4,846.7047146,28.3,30.1
24.3,974.9552343,28.3,30.1
25.8,1047.805469,29.2,31.1
25.8,1089.697052,29.2,32.1
25.8,1111.278348,30.1,32.1
25.8,1117.166623,30.1,33.2
26.6,1108.524716,30.1,33.2
26.6,1083.631941,31.1,33.2
25.8,1037.028024,31.1,33.2
27.4,956.3439254,35.6,36.9
27.4,812.670995,34.4,36.9
25.8,525.0080169,34.4,36.9
24.3,0,32.1,35.6
24.3,0,30.1,34.4
24.3,0,29.2,33.2
24.3,0,28.3,32.1
24.3,0,27.4,31.1
24.3,0,26.6,30.1
24.3,0,25.8,29.2
23.6,0,25.8,29.2
24.3,0,25,29.2
24.3,0,25,28.3
24.3,0,24.3,27.4
24.3,596.7812428,24.3,27.4
25,846.352437,25.8,28.3
26.6,974.7760512,28.3,29.2
26.6,1047.700362,30.1,31.1
30.1,1089.626648,34.4,34.4
34.4,1111.223581,39.8,38.3
27.4,1117.115857,43.2,43.2
29.2,1108.468038,35.6,39.8
31.1,1083.556869,36.9,41.4
33.2,1036.913058,41.4,43.2
32.1,956.1430118,43.2,45.1
25,812.2635548,39.8,45.1
27.4,523.9769607,34.4,41.4
27.4,0,31.1,36.9
28.3,0,30.1,35.6
28.3,0,29.2,34.4
28.3,0,29.2,33.2
28.3,0,28.3,32.1
28.3,0,28.3,31.1
28.3,0,28.3,31.1
28.3,0,27.4,30.1
28.3,0,27.4,30.1
28.3,0,27.4,30.1
28.3,0,27.4,30.1
29.2,595.868987,27.4,30.1
30.1,845.9910558,29.2,30.1
32.1,974.6054173,33.2,33.2
32.1,1047.610506,38.3,36.9
32.1,1089.57427,39.8,39.8
33.2,1111.187963,41.4,41.4
34.4,1117.084511,43.2,45.1
35.6,1108.430378,47.1,47.1
34.4,1083.49947,47.1,49.4
34.4,1036.812502,45.1,49.4
34.4,955.9485508,43.2,49.4
32.1,811.8410572,41.4,47.1
31.1,522.8587135,38.3,45.1
30.1,0,36.9,41.4
28.3,0,34.4,39.8
27.4,0,33.2,38.3
26.6,0,32.1,36.9
25.8,0,31.1,34.4
25.8,0,30.1,34.4
24.3,0,28.3,32.1
24.3,0,27.4,31.1
23.6,0,26.6,30.1
22.9,0,25,28.3
22.9,0,24.3,27.4
22.9,594.890956,23.6,26.6
22.9,845.6203978,23.6,26.6
22.9,974.443212,23.6,26.6
23.6,1047.535792,23.6,26.6
24.3,1089.539812,25,27.4
24.3,1111.171389,25,27.4
25.8,1117.072481,25.8,28.3
26.6,1108.41163,26.6,29.2
27.4,1083.459637,26.6,30.1
28.3,1036.726247,28.3,31.1
31.1,955.7604175,34.4,34.4
28.3,811.4033047,33.2,35.6
27.4,521.6525817,33.2,36.9
25,0,31.1,35.6
23.6,0,29.2,33.2
23.6,0,28.3,32.1
23.6,0,27.4,30.1
22.9,0,26.6,30.1
22.9,0,25,29.2
22.2,0,24.3,28.3
22.2,0,24.3,27.4
22.9,0,23.6,27.4
22.9,0,23.6,26.6
22.9,0,23.6,26.6
22.2,593.8465812,23.6,25.8
22.2,845.2402684,23.6,25.8
23.6,974.2892988,23.6,26.6
24.3,1047.476096,24.3,26.6
25.8,1089.523154,25,27.4
24.3,1111.173741,25,28.3
26.6,1117.079647,25.8,28.3
25.8,1108.411676,26.6,29.2
25,1083.437249,27.4,30.1
25,1036.654165,28.3,30.1
25.8,955.5784702,28.3,30.1
25,810.9500756,27.4,30.1
24.3,520.3577915,26.6,30.1
24.3,0,26.6,30.1
24.3,0,25.8,29.2
24.3,0,25.8,29.2
23.6,0,25,28.3
23.6,0,25,28.3
23.6,0,25,28.3
23.6,0,25,27.4
23.6,0,24.3,27.4
23.6,0,24.3,27.4
22.9,0,24.3,27.4
22.9,0,24.3,26.6
22.9,592.7352344,23.6,26.6
22.9,844.8504521,23.6,26.6
23.6,974.143525,24.3,26.6
23.6,1047.431277,25,27.4
25,1089.524158,27.4,28.3
24.3,1111.194883,27.4,29.2
23.6,1117.105874,27.4,30.1
25.8,1108.430379,28.3,31.1
26.6,1083.432169,29.2,31.1
29.2,1036.596117,31.1,33.2
27.4,955.4025509,33.2,35.6
26.6,810.4811246,32.1,35.6
25.8,518.9734882,31.1,34.4
25.8,0,30.1,33.2
25,0,28.3,32.1
25,0,27.4,32.1
24.3,0,27.4,31.1
24.3,0,26.6,30.1
24.3,0,25.8,30.1
24.3,0,25.8,29.2
24.3,0,25.8,29.2
23.6,0,25,28.3
23.6,0,25,28.3
23.6,0,25,27.4
24.3,591.556228,24.3,27.4
25,844.450712,25,27.4
25,974.0057218,25.8,28.3
26.6,1047.401181,26.6,29.2
28.3,1089.542673,29.2,31.1
27.4,1111.234665,29.2,32.1
26.6,1117.151014,30.1,33.2
25.8,1108.46759,30.1,33.2
26.6,1083.444246,29.2,33.2
29.2,1036.551945,31.1,33.2
27.4,955.2324852,32.1,34.4
26.6,809.9961826,31.1,34.4
25,517.4987351,30.1,34.4
25,0,29.2,33.2
25,0,28.3,32.1
24.3,0,27.4,31.1
24.3,0,26.6,30.1
24.3,0,26.6,30.1
24.3,0,25.8,29.2
24.3,0,25.8,29.2
23.6,0,25,28.3
23.6,0,25,28.3
24.3,0,24.3,27.4
24.3,0,24.3,27.4
24.3,590.3088138,24.3,27.4
25.8,844.0407901,25,27.4
33.2,973.875705,29.2,30.1
31.1,1047.385638,35.6,34.4
32.1,1089.578534,39.8,38.3
33.2,1111.292923,45.1,43.2
33.2,1117.214902,47.1,47.1
33.2,1108.523145,47.1,49.4
31.1,1083.473314,45.1,49.4
32.1,1036.521479,43.2,49.4
30.1,955.0680824,43.2,49.4
27.4,809.4949568,39.8,45.1
26.6,515.9325123,38.3,43.2
25.8,0,34.4,41.4
25.8,0,33.2,38.3
25.8,0,31.1,36.9
25,0,30.1,35.6
25,0,29.2,34.4
24.3,0,29.2,33.2
24.3,0,28.3,32.1
24.3,0,27.4,31.1
23.6,0,26.6,30.1
23.6,0,25.8,30.1
23.6,0,25.8,29.2
24.3,588.9921826,25.8,29.2
25.8,843.6204075,26.6,29.2
30.1,973.7532743,30.1,30.1
31.1,1047.384463,34.4,34.4
31.1,1089.631561,41.4,38.3
29.2,1111.369478,43.2,43.2
30.1,1117.297359,45.1,45.1
30.1,1108.596864,43.2,45.1
32.1,1083.519191,43.2,45.1
22.9,1036.504532,36.9,45.1
26.6,954.909136,33.2,39.8
25.8,808.9771307,31.1,36.9
25.8,514.273716,30.1,34.4
25.8,0,29.2,33.2
25,0,28.3,33.2
24.3,0,27.4,32.1
23.6,0,27.4,31.1
24.3,0,26.6,30.1
23.6,0,25.8,29.2
23.6,0,25.8,29.2
23.6,0,25.8,29.2
23.6,0,25,28.3
23.6,0,24.3,28.3
22.9,0,24.3,27.4
23.6,587.6054634,24.3,27.4
24.3,843.1892646,25,27.4
29.2,973.6382143,27.4,29.2
28.3,1047.397457,32.1,33.2
27.4,1089.701558,33.2,34.4
28.3,1111.464138,36.9,38.3
30.1,1117.398194,36.9,39.8
31.1,1108.688554,39.8,41.4
31.1,1083.581683,41.4,43.2
30.1,1036.500904,41.4,45.1
30.1,954.7554236,41.4,45.1
27.4,808.4423641,38.3,43.2
27.4,512.5211566,36.9,41.4
27.4,0,34.4,39.8
26.6,0,33.2,38.3
26.6,0,31.1,35.6
26.6,0,30.1,34.4
25.8,0,29.2,33.2
25,0,28.3,32.1
25,0,27.4,32.1
24.3,0,27.4,31.1
27.4,0,26.6,30.1
27.4,0,26.6,30.1
26.6,0,25.8,29.2
27.4,586.1477226,25.8,29.2
30.1,842.7470406,28.3,29.2
31.1,973.5302946,33.2,32.1
32.1,1047.424408,36.9,35.6
33.2,1089.788317,41.4,39.8
33.2,1111.576694,45.1,45.1
32.1,1117.5172,49.4,49.4
34.4,1108.798008,51.9,51.9
34.4,1083.660579,51.9,54.8
35.6,1036.51038,49.4,54.8
34.4,954.6067069,49.4,51.9
34.4,807.8902935,45.1,51.9
32.1,510.6735576,41.4,47.1
31.1,0,38.3,45.1
31.1,0,35.6,41.4
31.1,0,34.4,39.8
30.1,0,32.1,36.9
30.1,0,31.1,35.6
29.2,0,30.1,34.4
29.2,0,30.1,33.2
28.3,0,29.2,32.1
28.3,0,28.3,32.1
27.4,0,28.3,31.1
27.4,0,27.4,30.1
28.3,584.6179632,27.4,30.1
29.2,842.2933945,29.2,31.1
30.1,973.4292693,31.1,32.1
31.1,1047.465087,34.4,34.4
32.1,1089.891616,38.3,38.3
35.6,1111.706927,43.2,41.4
34.4,1117.654156,47.1,47.1
38.3,1108.925005,51.9,51.9
36.9,1083.755659,51.9,54.8
32.1,1036.532731,47.1,54.8
31.1,1044.622006,49.4,51.9
29.2,947.0549656,47.1,51.9
30.1,756.8220121,43.2,49.4
28.3,296.0532812,39.8,45.1
26.6,0,35.6,43.2
25,0,33.2,39.8
24.3,0,31.1,36.9
24.3,0,28.3,35.6
23.6,0,27.4,33.2
23.6,0,25.8,32.1
23.6,0,25,31.1
23.6,0,24.3,29.2
22.9,0,23.6,¡¤
22.2,0,22.9,27.4
21.6,0,22.2,27.4
22.2,416.889003,21.6,26.6
23.6,802.373831,22.9,26.6
26.6,969.8954492,26.6,28.3
30.1,1057.465964,31.1,31.1
31.1,1105.579868,31.1,35.6
34.4,1129.762164,33.2,38.3
32.1,1136.290648,36.9,41.4
35.6,1126.698996,41.4,47.1
36.9,1098.710834,47.1,51.9
33.2,1044.829634,49.4,54.8
31.1,946.6841658,49.4,54.8
32.1,754.7409828,47.1,51.9
30.1,286.6550162,43.2,49.4
26.6,0,38.3,45.1
25.8,0,34.4,41.4
25,0,32.1,38.3
25,0,29.2,35.6
25,0,27.4,33.2
25,0,26.6,32.1
25,0,25.8,31.1
24.3,0,25,30.1
24.3,0,24.3,29.2
24.3,0,23.6,28.3
24.3,0,23.6,27.4
23.6,409.7184098,22.9,27.4
24.3,800.7429687,24.3,27.4
28.3,969.6647953,27.4,29.2
29.2,1057.728234,31.1,32.1
32.1,1106.043727,33.2,36.9
33.2,1130.308861,35.6,41.4
32.1,1136.857592,39.8,47.1
36.9,1127.235883,45.1,51.9
35.6,1099.148909,49.4,54.8
34.4,1045.030833,47.1,54.8
34.4,946.2954756,47.1,54.8
34.4,752.6010864,47.1,54.8
31.1,276.9550358,43.2,51.9
27.4,0,38.3,47.1
26.6,0,35.6,43.2
25.8,0,32.1,39.8
25.8,0,30.1,36.9
25.8,0,28.3,34.4
25,0,26.6,32.1
25,0,25.8,31.1
24.3,0,25,30.1
24.3,0,24.3,29.2
23.6,0,23.6,28.3
23.6,0,22.9,27.4
22.9,402.3260443,22.9,26.6
23.6,799.0649544,23.6,26.6
28.3,969.4188734,27.4,28.3
31.1,1057.984705,31.1,32.1
34.4,1106.505364,33.2,36.9
33.2,1130.854767,36.9,43.2
30.1,1137.424093,39.8,47.1
32.1,1127.771811,45.1,51.9
32.1,1099.584315,49.4,54.8
32.1,1045.225115,49.4,54.8
32.1,945.8882712,47.1,51.9
31.1,750.4008826,45.1,51.9
29.2,266.9440992,41.4,47.1
26.6,0,36.9,45.1
25.8,0,34.4,41.4
25,0,31.1,38.3
25,0,29.2,34.4
25.8,0,27.4,33.2
25.8,0,26.6,32.1
25.8,0,26.6,31.1
25.8,0,25.8,30.1
25.8,0,25.8,30.1
25.8,0,25,29.2
25.8,0,25,29.2
25,394.7050348,25,28.3
25.8,797.3386353,25.8,28.3
32.1,969.1571052,28.3,30.1
31.1,1058.234903,32.1,34.4
33.2,1106.964338,33.2,38.3
34.4,1131.399449,35.6,45.1
25,1138.182014,25,27.4
26.6,1145.077631,28.3,30.1
26.6,1134.940942,30.1,33.2
27.4,1105.159083,31.1,34.4
26.6,1046.957124,31.1,35.6
30.1,937.9002036,33.2,36.9
25,712.4052627,31.1,36.9
23.6,88.33396216,29.2,34.4
22.9,0,27.4,33.2
22.2,0,26.6,31.1
21,0,25,30.1
19.8,0,24.3,29.2
19.8,0,23.6,28.3
17.6,0,21.6,26.6
17.6,0,20.4,25
17.6,0,19.8,23.6
17.6,0,19.2,22.9
17.1,0,18.7,22.2
16.6,0,18.1,22.2
16.6,259.6012717,17.6,21.6
16.6,767.4249109,17.6,21.6
16.6,963.5139447,17.6,21.6
17.1,1060.826449,18.1,21.6
16.2,709.1123009,18.7,22.2
16.2,72.33239722,18.1,22.2
16.2,0,17.6,21.6
16.2,0,17.6,21.6
16.6,0,17.1,21
16.6,0,17.1,21
16.6,0,17.1,21
16.2,0,17.1,20.4
16.2,0,16.6,20.4
16.2,0,16.6,20.4
16.2,0,16.6,20.4
16.6,0,16.6,20.4
16.6,0,16.6,20.4
16.6,247.5701384,16.6,20.4
16.6,764.8280634,16.6,20.4
16.6,962.9480863,17.1,20.4
17.1,1060.929614,17.6,21
17.1,1113.24457,17.6,21
17.1,1139.145686,18.1,21.6
17.1,1146.093928,19.2,22.2
17.1,1135.87911,19.2,22.9
17.1,1105.839825,19.2,22.9
17.1,1047.014318,19.2,22.9
16.6,936.356879,18.7,22.9
17.1,705.7329669,18.1,22.2
17.1,55.812196,18.1,21.6
17.1,0,17.6,21.6
17.1,0,17.6,21.6
17.1,0,17.6,21
17.1,0,17.6,21
17.1,0,17.1,21
17.1,0,17.1,21
17.1,0,17.1,21
17.1,0,17.1,21
17.1,0,17.1,21
17.1,0,17.1,20.4
17.1,0,17.1,20.4
17.1,235.1705253,17.1,20.4
17.1,762.1630494,17.1,20.4
17.1,962.357845,17.6,21
17.1,1061.019797,18.7,21.6
17.6,1113.605401,19.2,22.2
18.1,1139.616741,20.4,23.6
17.6,1146.591877,20.4,23.6
21.6,1136.787356,25.8,27.4
23.6,1106.482956,26.6,29.2
26.6,1047.014395,28.3,31.1
21,934.6996293,28.3,32.1
20.4,698.7079534,26.6,31.1
19.8,21.13043515,24.3,29.2
19.8,0,23.6,28.3
19.2,0,22.9,26.6
19.2,0,22.2,25.8
19.2,0,21.6,25.8
19.2,0,21,25
19.2,0,21,25
18.7,0,20.4,24.3
18.1,0,19.8,23.6
18.1,0,19.8,22.9
17.6,0,19.2,22.9
18.1,0,18.7,22.9
17.6,209.2250438,18.7,22.2
18.1,756.6233265,18.7,22.2
18.1,961.102392,18.7,22.2
18.1,1061.159853,19.2,22.2
18.7,1114.299107,19.8,22.9
19.8,1140.535736,21,23.6
19.8,1147.565833,21.6,25
18.7,1137.229487,21.6,25
19.8,1106.789624,21.6,25
19.8,1046.992139,22.9,25.8
19.8,933.8270066,22.9,25.8
19.2,695.0586176,22.2,25.8
18.1,2.923123369,21,25
18.1,0,20.4,24.3
18.1,0,19.8,23.6
18.1,0,19.8,23.6
18.1,0,19.2,22.9
18.1,0,19.2,22.9
18.1,0,19.2,22.2
18.1,0,18.7,22.2
18.1,0,18.7,22.2
18.1,0,18.7,22.2
18.1,0,18.7,22.2
18.1,0,18.7,22.2
18.1,195.6583288,18.7,22.2
18.7,753.7460172,18.7,22.2
18.7,960.4363024,19.8,22.9
18.7,1061.209076,19.8,22.9
18.7,1114.631378,19.8,23.6
18.7,1140.983085,20.4,23.6
18.7,1148.041252,21,24.3
18.7,1137.663231,21,24.3
18.7,1107.085956,21,24.3
18.7,1046.954578,21,24.3
19.2,932.9243975,21,24.3
18.7,691.3155987,20.4,24.3
18.7,0,20.4,23.6
18.7,0,19.8,23.6
19.2,0,19.8,23.6
18.7,0,19.2,22.9
18.7,0,19.2,22.9
18.7,0,19.2,22.9
18.7,0,19.2,22.9
18.7,0,19.2,22.9
18.7,0,19.2,22.2
18.7,0,18.7,22.2
18.7,0,18.7,22.2
18.1,0,18.7,22.2
18.1,181.6812781,18.7,22.2
18.7,750.795343,19.2,22.2
18.7,959.7440757,19.2,22.2
19.2,1061.244015,19.8,22.9
19.8,1114.953542,21,23.6
21,1141.421958,22.2,25
21,1148.508588,23.6,26.6
20.4,1138.088308,25,27.4
18.7,1107.371667,22.2,26.6
18.7,1046.901395,21.6,25
18.1,931.9913291,21,24.3
18.1,687.477031,19.8,24.3
18.1,0,19.2,23.6
18.1,0,19.2,22.9
18.1,0,18.7,22.2
17.6,0,18.7,22.2
17.6,0,18.1,21.6
17.6,0,18.1,21.6
17.6,0,18.1,21.6
17.6,0,17.6,21
17.6,0,17.6,21
17.1,0,17.6,21
17.1,0,17.6,21
17.1,0,17.6,21
17.1,167.2825791,17.6,21
17.6,747.770007,17.6,21
17.6,959.0253091,18.1,21
17.6,1061.264377,18.1,21.6
17.6,1115.265325,19.2,22.2
17.6,1141.852086,19.8,22.9
18.1,1148.967574,20.4,23.6
18.1,1138.504447,21,24.3
18.1,1107.64648,21,24.3
18.1,1046.832289,21,25
18.1,931.0273437,20.4,24.3
18.1,683.5410359,19.8,24.3
18.1,0,19.2,23.6
18.1,0,19.2,22.9
18.1,0,18.7,22.9
18.1,0,18.7,22.2
18.1,0,18.7,22.2
18.1,0,18.7,22.2
18.1,0,18.7,22.2
18.1,0,18.7,22.2
18.1,0,18.7,21.6
18.1,0,18.7,21.6
18.1,0,18.7,21.6
18.1,0,18.7,21.6
18.1,152.4502399,18.7,21.6
18.7,744.6687162,18.7,21.6
19.8,958.2796164,19.8,22.2
21.6,1061.26988,21.6,23.6
21.6,1115.566466,22.2,25
22.2,1142.273209,23.6,26.6
22.2,1149.417952,24.3,27.4
21.6,1138.91139,24.3,28.3
21.6,1107.910131,24.3,28.3
21.6,1046.746969,25,28.3
21,930.0319999,25,28.3
20.4,679.5057235,23.6,27.4
20.4,0,22.9,26.6
20.4,0,22.2,25.8
20.4,0,21.6,25
20.4,0,21,25
20.4,0,21,24.3
20.4,0,21,24.3
19.8,0,20.4,24.3
19.8,0,20.4,23.6
19.8,0,20.4,24.3
19.8,0,19.8,23.6
21,0,19.8,22.9
22.9,0,19.8,22.9
22.9,137.1713375,19.8,23.6
25,741.4901832,20.4,23.6
29.2,957.5066278,21.6,25
30.1,1061.260259,23.6,29.2
31.1,1115.856714,25.8,34.4
32.1,1142.685082,27.4,39.8
31.1,1149.859476,30.1,45.1
30.1,1139.30889,32.1,49.4
