T,R,T1,T2
25,1135.883203,38.3,39.8
24.3,1127.130663,38.3,41.4
25,1101.809604,35.6,39.8
25,1053.961943,35.6,39.8
25,969.7354527,33.2,38.3
23.6,815.2288173,31.1,38.3
23.6,487.0435061,29.2,35.6
23.6,0,27.4,34.4
23.6,0,26.6,33.2
23.6,0,25.8,32.1
22.9,0,25,31.1
22.9,0,25,30.1
21,0,23.6,29.2
21.6,0,22.9,28.3
21.6,0,22.2,27.4
22.9,0,21.6,26.6
22.9,0,21.6,26.6
22.2,0,21.6,25.8
22.2,574.6003872,21.6,25.8
25,852.5254599,22.2,25.8
24.3,988.8935759,26.6,27.4
30.1,1064.441955,32.1,31.1
30.1,1107.276609,38.3,35.6
33.2,1129.17317,41.4,41.4
32.1,1135.127483,47.1,45.1
30.1,1126.385722,47.1,49.4
30.1,1101.102106,47.1,49.4
29.2,1053.350574,43.2,45.1
30.1,969.3738957,43.2,43.2
29.2,815.5930585,41.4,43.2
28.3,490.1056171,39.8,41.4
26.6,0,35.6,39.8
25.8,0,33.2,38.3
25.8,0,31.1,35.6
26.6,0,29.2,34.4
28.3,0,29.2,33.2
27.4,0,28.3,33.2
28.3,0,27.4,32.1
28.3,0,27.4,32.1
28.3,0,27.4,31.1
27.4,0,27.4,31.1
27.4,0,26.6,31.1
28.3,576.7115978,27.4,31.1
29.2,852.6624488,29.2,31.1
30.1,988.4637782,29.2,33.2
31.1,1063.811339,30.1,36.9
33.2,1106.567962,36.9,41.4
34.4,1128.434655,43.2,45.1
33.2,1134.382018,47.1,49.4
35.6,1125.650632,49.4,51.9
35.6,1100.403107,49.4,54.8
34.4,1052.74439,49.4,54.8
35.6,969.0090946,49.4,54.8
34.4,815.928904,47.1,51.9
33.2,493.0349012,43.2,51.9
31.1,0,39.8,47.1
29.2,0,36.9,45.1
27.4,0,33.2,41.4
27.4,0,32.1,39.8
26.6,0,30.1,38.3
26.6,0,29.2,35.6
26.6,0,28.3,34.4
25,0,27.4,34.4
24.3,0,27.4,33.2
