[0.04154542 0.02972669 0.03010485 0.19402401 0.70459903]test_acc:  0.7857142857142857
[0.03027241 0.04565488 0.04323539 0.20060601 0.68023132]test_acc:  0.8214285714285714
[0.03060565 0.02682673 0.01173199 0.19782084 0.73301478]test_acc:  0.8928571428571429
[0.         0.01123425 0.01194404 0.25021456 0.72660715]test_acc:  0.9230769230769231
[0.03835551 0.03361809 0.01849314 0.18743982 0.72209343]test_acc:  0.76
[0.02315455 0.04185499 0.03416059 0.21089867 0.68993119]test_acc:  0.92
[0.01024627 0.02524317 0.0370711  0.21838101 0.70905845]test_acc:  0.96
[0.02288345 0.02722401 0.01788692 0.19104327 0.74096235]test_acc:  0.96
[0.03446367 0.02057159 0.03879423 0.19985113 0.70631938]test_acc:  0.9166666666666666
[0.02410356 0.0171193  0.02802818 0.21730095 0.71344801]test_acc:  0.9166666666666666
